Kernel,nu,Parameters,AUC-ROC
RBF,0.05,{'gamma': 0.1},0.7265497076023392
RBF,0.1,{'gamma': 0.1},0.975672514619883
RBF,0.2,{'gamma': 0.1},0.911578947368421
RBF,0.3,{'gamma': 0.1},0.9017543859649123
Polynomial,0.05,"{'coef0': 1, 'degree': 3, 'gamma': 0.5}",0.7326315789473683
Polynomial,0.1,"{'coef0': 1, 'degree': 3, 'gamma': 0.5}",0.848421052631579
Polynomial,0.2,"{'coef0': 1, 'degree': 3, 'gamma': 0.5}",0.8254970760233918
Polynomial,0.3,"{'coef0': 1, 'degree': 3, 'gamma': 0.5}",0.8704093567251462
Linear,0.05,{},0.5293567251461989
Linear,0.1,{},0.43508771929824563
Linear,0.2,{},0.5471345029239767
Linear,0.3,{},0.5466666666666666
Sigmoid,0.05,"{'coef0': 1, 'gamma': 0.5}",0.3527485380116959
Sigmoid,0.1,"{'coef0': 1, 'gamma': 0.5}",0.40959064327485384
Sigmoid,0.2,"{'coef0': 1, 'gamma': 0.5}",0.4203508771929825
Sigmoid,0.3,"{'coef0': 1, 'gamma': 0.5}",0.4374269005847954
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9578947368421052
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9578947368421052
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9578947368421052
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.968421052631579
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.968421052631579
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.968421052631579
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9709941520467836
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9709941520467836
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9709941520467836
