params,AUC-ROC
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.7305263157894736
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.7083040935672514
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.7083040935672515
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.6053801169590642
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.5782456140350878
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.5630409356725147
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.5216374269005848
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.4612865497076023
"{'hidden_dim': 16, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.3143859649122807
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.2102923976608187
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.10362573099415204
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.21239766081871345
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.06596491228070175
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.16421052631578947
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.11532163742690058
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.15766081871345028
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.07368421052631577
"{'hidden_dim': 16, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.11789473684210525
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.1104093567251462
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.1256140350877193
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.3015204678362573
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.12654970760233916
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.24140350877192984
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.1583625730994152
