hidden_dim,latent_dim,learning_rate,num_epochs,AUC-ROC
16,2,0.001,20,0.17333333333333334
16,2,0.001,30,0.26690058479532164
16,2,0.001,50,0.24514619883040933
16,2,0.01,20,0.29192982456140354
16,2,0.01,30,0.16140350877192983
16,2,0.01,50,0.21637426900584794
16,4,0.001,20,0.16771929824561405
16,4,0.001,30,0.13122807017543858
16,4,0.001,50,0.14526315789473682
16,4,0.01,20,0.2245614035087719
16,4,0.01,30,0.23719298245614034
16,4,0.01,50,0.1326315789473684
16,6,0.001,20,0.27976608187134505
16,6,0.001,30,0.1574269005847953
16,6,0.001,50,0.28982456140350876
16,6,0.01,20,0.14994152046783626
16,6,0.01,30,0.19391812865497077
16,6,0.01,50,0.15695906432748535
16,8,0.001,20,0.18923976608187132
16,8,0.001,30,0.2311111111111111
16,8,0.001,50,0.1592982456140351
16,8,0.01,20,0.19555555555555557
16,8,0.01,30,0.1464327485380117
16,8,0.01,50,0.09426900584795321
32,2,0.001,20,0.1639766081871345
32,2,0.001,30,0.4605847953216375
32,2,0.001,50,0.14900584795321636
32,2,0.01,20,0.28584795321637424
32,2,0.01,30,0.11953216374269005
32,2,0.01,50,0.09450292397660817
32,4,0.001,20,0.12631578947368421
32,4,0.001,30,0.13005847953216373
32,4,0.001,50,0.1464327485380117
32,4,0.01,20,0.26245614035087717
32,4,0.01,30,0.1887719298245614
32,4,0.01,50,0.08070175438596491
32,6,0.001,20,0.2130994152046784
32,6,0.001,30,0.34105263157894733
32,6,0.001,50,0.25099415204678366
32,6,0.01,20,0.1964912280701754
32,6,0.01,30,0.2968421052631579
32,6,0.01,50,0.14923976608187134
32,8,0.001,20,0.1904093567251462
32,8,0.001,30,0.23064327485380118
32,8,0.001,50,0.33309941520467834
32,8,0.01,20,0.16023391812865495
32,8,0.01,30,0.21637426900584794
32,8,0.01,50,0.26690058479532164
64,2,0.001,20,0.10900584795321636
64,2,0.001,30,0.1480701754385965
64,2,0.001,50,0.4385964912280702
64,2,0.01,20,0.18713450292397663
64,2,0.01,30,0.1557894736842105
64,2,0.01,50,0.15228070175438596
64,4,0.001,20,0.11766081871345029
64,4,0.001,30,0.2128654970760234
64,4,0.001,50,0.23719298245614034
64,4,0.01,20,0.20374269005847956
64,4,0.01,30,0.17707602339181283
64,4,0.01,50,0.14596491228070174
64,6,0.001,20,0.35953216374269004
64,6,0.001,30,0.19742690058479534
64,6,0.001,50,0.27017543859649124
64,6,0.01,20,0.10175438596491228
64,6,0.01,30,0.20912280701754388
64,6,0.01,50,0.13567251461988303
64,8,0.001,20,0.2039766081871345
64,8,0.001,30,0.2886549707602339
64,8,0.001,50,0.2247953216374269
64,8,0.01,20,0.22643274853801168
64,8,0.01,30,0.1127485380116959
64,8,0.01,50,0.2418713450292398
